State,NPA,Rate Center Abbr,Rate Center Full Name,LATA,NPA Complex,FCC Top 100 MSA Name,Pooling Status
AK,907,ADKUSNVLST,ADAK U S NAVAL STATION,832,907,(NA),M
AK,907,AKHIOK,AKHIOK,832,907,(NA),M*
AK,907,AKIACHAK,AKIACHAK,832,907,(NA),M*
AK,907,AKIAK,AKIAK,832,907,(NA),M*
AK,907,AKUTAN,AKUTAN,832,907,(NA),M
AK,907,ALAKANUK,ALAKANUK,832,907,(NA),M*
AK,907,ALLAKAKET,ALLAKAKET,832,907,(NA),M*
AK,907,AMBLER,AMBLER,832,907,(NA),M*
AK,907,ANATVKPASS,ANAKTUVUK PASS,832,907,(NA),M*
AK,907,ANCHORAGE,ANCHORAGE,832,907,(NA),M
AK,907,ANGOON,ANGOON,832,907,(NA),M*
AK,907,ANIAK,ANIAK,832,907,(NA),M
AK,907,ANNETTE,ANNETTE,832,907,(NA),M
AK,907,ANVIK,ANVIK,832,907,(NA),M*
AK,907,ARCTIC VLG,ARCTIC VILLAGE,832,907,(NA),M*
AK,907,ATKA,ATKA,832,907,(NA),M*
AK,907,ATMAUTLUAK,ATMAUTLUAK,832,907,(NA),M*
AK,907,ATQASUK,ATQASUK,832,907,(NA),M*
AK,907,BARROW,BARROW,832,907,(NA),M
AK,907,BEAVER,BEAVER,832,907,(NA),M*
AK,907,BETHEL,BETHEL,832,907,(NA),M
AK,907,BETTLES,BETTLES,832,907,(NA),M*
AK,907,BIG LAKE,BIG LAKE,832,907,(NA),M
AK,907,BIRCHCREEK,BIRCH CREEK,832,907,(NA),M*
AK,907,BIRD CREEK,BIRD CREEK,832,907,(NA),M*
AK,907,BORDERCITY,BORDER CITY,832,907,(NA),M*
AK,907,BUCKLAND,BUCKLAND,832,907,(NA),M*
AK,907,CANTWELL,CANTWELL,832,907,(NA),M
AK,907,CENTRAL,CENTRAL,832,907,(NA),M*
AK,907,CHALKYITSK,CHALKYITSIK,832,907,(NA),M*
AK,907,CHEFORNAK,CHEFORNAK,832,907,(NA),M*
AK,907,CHENEGABAY,CHENEGA BAY,832,907,(NA),M*
AK,907,CHEVAK,CHEVAK,832,907,(NA),M*
AK,907,CHIGNIK,CHIGNIK,832,907,(NA),M*
AK,907,CHIGNIK LK,CHIGNIK LAKE,832,907,(NA),M*
AK,907,CHIGNILGON,CHIGNIK LAGOON,832,907,(NA),M*
AK,907,CHISANA,CHISANA,832,907,(NA),M*
AK,907,CHITINA,CHITINA,832,907,(NA),M
AK,907,CHNAHOTSPG,CHENA HOT SPRINGS,832,907,(NA),M*
AK,907,CHUATHBALK,CHUATHBALUK,832,907,(NA),M*
AK,907,CHUGIAK,CHUGIAK,832,907,(NA),M
AK,907,CIRCLE,CIRCLE,832,907,(NA),M*
AK,907,CLEAR AFS,CLEAR AIR FORCE STATION,832,907,(NA),M
AK,907,CLEARYSMMT,CLEARY SUMMIT,832,907,(NA),M*
AK,907,COFFMAN CV,COFFMAN COVE,832,907,(NA),M*
AK,907,COLD BAY,COLD BAY,832,907,(NA),M*
AK,907,COLDFOOT,COLDFOOT CAMP,832,907,(NA),M*
AK,907,COOPER LDG,COOPER LANDING,832,907,(NA),M
AK,907,CORDOVA,CORDOVA,832,907,(NA),M
AK,907,COUNCIL,COUNCIL,832,907,(NA),M*
AK,907,CPLSBRNAFS,CAPE LISBURNE AIR FORCE STATION,832,907,(NA),M*
AK,907,CPNEWENAFS,CAPE NEWENHAM AFS,832,907,(NA),M*
AK,907,CPRMANZAFS,CAPE ROMANZOF AFS,832,907,(NA),M*
AK,907,CRAIG,CRAIG,832,907,(NA),M
AK,907,CROOKEDCRK,CROOKED CREEK,832,907,(NA),M*
AK,907,DEADHORSE,DEADHORSE,832,907,(NA),M
AK,907,DEERING,DEERING,832,907,(NA),M*
AK,907,DELTA JCT,DELTA JUNCTION,832,907,(NA),M
AK,907,DILLINGHAM,DILLINGHAM,832,907,(NA),M
AK,907,DOT LAKE,DOT LAKE,832,907,(NA),M*
AK,907,DRY CREEK,DRY CREEK,832,907,(NA),M*
AK,907,EAGLE,EAGLE,832,907,(NA),M*
AK,907,EAGLERIVER,EAGLE RIVER,832,907,(NA),M
AK,907,EARECKSON,EARECKSON AFS,832,907,(NA),M*
AK,907,EDNA BAY,EDNA BAY,832,907,(NA),M*
AK,907,EEK,EEK,832,907,(NA),M*
AK,907,EGEGIK,EGEGIK,832,907,(NA),M*
AK,907,EIELSONAFB,EIELSON AIR FORCE BASE,832,907,(NA),M
AK,907,EKUK,EKUK,832,907,(NA),M*
AK,907,EKWOK,EKWOK,832,907,(NA),M*
AK,907,ELFIN COVE,ELFIN COVE,832,907,(NA),M*
AK,907,ELIM,ELIM,832,907,(NA),M
AK,907,ELMEDRFAFB,ELMENDORF AIR FORCE BASE,832,907,(NA),M
AK,907,EMMONAK,EMMONAK,832,907,(NA),M*
AK,907,ENGLISHBAY,ENGLISH BAY,832,907,(NA),M*
AK,907,EXCUSNINLT,EXCURSION INLET,832,907,(NA),M*
AK,907,FAIRBANKS,FAIRBANKS,832,907,(NA),M
AK,907,FALSE PASS,FALSE PASS,832,907,(NA),M*
AK,907,FORT YUKON,FORT YUKON,832,907,(NA),M
AK,907,FORTGREELY,FORT GREELY,832,907,(NA),M*
AK,907,FTRICHADSN,FORT RICHARDSON,832,907,(NA),M
AK,907,FTWAINWRIT,FORT WAINWRIGHT,832,907,(NA),M
AK,907,GALENA,GALENA,832,907,(NA),M*
AK,907,GAMBELL,GAMBELL,832,907,(NA),M*
AK,907,GIRDWOOD,GIRDWOOD,832,907,(NA),M
AK,907,GLENNALLEN,GLENNALLEN,832,907,(NA),M
AK,907,GOLOVIN,GOLOVIN,832,907,(NA),M
AK,907,GOODNEWSBY,GOODNEWS BAY,832,907,(NA),M*
AK,907,GRAYLING,GRAYLING,832,907,(NA),M*
AK,907,GRNCRKMINE,GREENS CREEK MINE,832,907,(NA),M*
AK,907,GUSTAVUS,GUSTAVUS,832,907,(NA),M*
AK,907,HAINES,HAINES,832,907,(NA),M
AK,907,HALIBUT CV,HALIBUT COVE,832,907,(NA),M*
AK,907,HEALY,HEALY,832,907,(NA),M
AK,907,HEALY LAKE,HEALY LAKE,832,907,(NA),M*
AK,907,HOLLIS,HOLLIS,832,907,(NA),M*
AK,907,HOLY CROSS,HOLY CROSS,832,907,(NA),M*
AK,907,HOMER,HOMER,832,907,(NA),M
AK,907,HOONAH,HOONAH,832,907,(NA),M*
AK,907,HOOPER BAY,HOOPER BAY,832,907,(NA),M*
AK,907,HUGHES,HUGHES,832,907,(NA),M*
AK,907,HUSLIA,HUSLIA,832,907,(NA),M
AK,907,HYDABURG,HYDABURG,832,907,(NA),M*
AK,907,IGIUGIG,IGIUGIG,832,907,(NA),M*
AK,907,ILIAMNA,ILIAMNA,832,907,(NA),M*
AK,907,INDINMTAFS,INDIAN MOUNTAIN AIR FORCE STATION,832,907,(NA),M*
AK,907,JIMRIVCAMP,JIM RIVER CAMP,832,907,(NA),M*
AK,907,JUNEAU,JUNEAU,832,907,(NA),M
AK,907,KAKE,KAKE,832,907,(NA),M*
AK,907,KAKHONAK,KAKHONAK,832,907,(NA),M*
AK,907,KAKTOVIK,KAKTOVIK,832,907,(NA),M*
AK,907,KALSKAG,KALSKAG,832,907,(NA),M*
AK,907,KALTAG,KALTAG,832,907,(NA),M*
AK,907,KANTISHNA,KANTISHNA,832,907,(NA),M*
AK,907,KARLUK,KARLUK,832,907,(NA),M*
AK,907,KASAAN,KASAAN,832,907,(NA),M*
AK,907,KASIGLUK,KASIGLUK,832,907,(NA),M*
AK,907,KAZAKOFBAY,KAZAKOFBAY,832,907,(NA),M*
AK,907,KENAI,KENAI,832,907,(NA),M
AK,907,KETCHIKAN,KETCHIKAN,832,907,(NA),M
AK,907,KIANA,KIANA,832,907,(NA),M*
AK,907,KING COVE,KING COVE,832,907,(NA),M
AK,907,KINGSALMON,KING SALMON,832,907,(NA),M
AK,907,KIPNUK,KIPNUK,832,907,(NA),M*
AK,907,KIVALINA,KIVALINA,832,907,(NA),M*
AK,907,KLAWOCK,KLAWOCK,832,907,(NA),M*
AK,907,KLUKWAN,KLUKWAN,832,907,(NA),M*
